doi
10.1016/j.apgeochem.2015.01.001
10.5408/16-171.1
10.5194/tc-15-1423-2021
10.5194/soil-3-67-2017
10.5194/hess-24-945-2020
10.5194/hess-24-4317-2020
10.5194/esurf-6-1089-2018
10.5194/esurf-5-21-2017
10.5194/esurf-3-363-2015
10.5194/essd-10-1795-2018
10.5194/cp-14-1391-2018
10.5194/bg-18-55-2021
10.5194/bg-17-3149-2020
10.5194/bg-16-4661-2019
10.5194/acp-18-14737-2018
10.5194/acp-17-7245-2017
10.5194/acp-16-13969-2016
10.5109/4707
10.4324/9781315121413-9
10.4236/nr.2015.68045
10.4141/p00-030
10.34467/jssoilphysics.139.0_3
10.3390/w13040521
10.3390/w10030288
10.3390/soilsystems2020020
10.3390/rs9100981
10.3390/rs70505133
10.3390/min11050476
10.3390/hydrology8010054
10.3390/geosciences8120469
10.3390/f9070420
10.3390/f7080168
10.3390/f10070572
10.3390/f10030210
10.3389/frwa.2021.693763
10.3389/frwa.2021.600649
10.3389/frwa.2020.578677
10.3389/frwa.2020.572950
10.3389/frwa.2020.563841
10.3389/frwa.2019.00001
10.3389/fmicb.2021.569791
10.3389/ffgc.2018.00004
10.3389/feart.2018.00193
10.3178/jjshwr.34.100
10.2515/therapie/2012067
10.2478/s11696-013-0455-0
10.2166/nh.2016.160
10.2138/gselements.15.4.247
10.2136/vzj2017.10.0178
10.2134/jeq2013.11.0438er
10.1890/es13-00268.1
10.1890/140163
10.14358/pers.79.2.185
10.1371/journal.pone.0211258
10.1371/journal.pone.0088657
10.1186/s40168-018-0499-z
10.1175/jhm-d-19-0013.1
10.1175/jhm-d-18-0115.1
10.1175/ei-d-16-0031.1
10.1155/2021/8817487
10.11475/sabo.73.1_3
10.1144/jgs2020-147
10.1139/cjfas-2020-0398
10.1130/ges01329.1
10.1130/g46219.1
10.1130/g45993.1
10.1130/g37533.1
10.1130/g37246.1
10.1130/g37094.1
10.1130/g36157.1
10.1130/g33486.1
10.1130/g33079.1
10.1130/g33060.1
10.1130/g32608.1
10.1130/g32586.1
10.1130/g32584.1
10.1130/g32570.1
10.1130/b35195.1
10.1130/b31000.1
10.1130/b30594.1
10.1128/mbio.02776-19
10.1128/genomea.01574-15
10.1128/aem.00546-21
10.1126/science.abb8092
10.1126/science.aap9516
10.1126/science.aac8747
10.1126/sciadv.aao0834
10.1117/12.2068726
10.1111/pce.13918
10.1111/nph.17348
10.1111/gcb.15100
10.1111/ele.12483
10.1111/aje.12700
10.1111/1365-2745.13444
10.1109/tgrs.2016.2538089
10.1109/jstars.2017.2701809
10.1109/jstars.2013.2265255
10.1103/physrevresearch.3.023119
10.1103/physrevlett.114.081802
10.1103/physrevlett.110.011802
10.1103/physreve.90.052128
10.1103/physreve.89.023007
10.1103/physrevd.88.083508
