title,authors,year,doi,journal
Hydrologic dynamics and geochemical responses within a floodplain aquifer and hyporheic zone during Hurricane Sandy,"Sawyer, A.H., L.A. Kaplan, O. Lazareva, and H.A. Michael ",2014,10.1002/2013WR015101,"Water Resources Research, "
Relationships between stream nitrate concentration and spatially distributed snowmelt in high-elevation catchments of the western U.S.,"Perrot, D., N. P. Molotch, M. W. Williams, S. M. Jepsen, and J. O. Sickman ",2014,10.1002/2013WR015243,"Water Resour. Res., "
Importance of vegetation for manganese cycling in temperate forested watersheds,"Herndon Elizabeth, Lixin Jin, Danielle Andrews, David Eissenstat, Susan Brantley ",2015,10.1002/2014GB004858,"Global Biogeochemical Cycles, "
Long term storage and transport length scale of fine sediment: Analysis of a mercury release into a river,"Pizzuto, J.E. ",2014,10.1002/2014GL060722,"Geophysical Research Letters, "
A Model for Knickpoint Migration in First- and Second-order Streams,"Bressan, F., Papanicolaou, A.N., and Abban, B. ",2014,10.1002/2014GL060823,"Geophysical Research Letters, "
Assessing five evolving microbial enzyme models against field measurements from a semiarid savannah—What are the mechanisms of soil respiration pulses?,"Zhang X., Niu G.-Y., Elshall A.S., Ye M., Barron-Gafford G.A., and Pavao-Zuckerman M. ",2014,10.1002/2014GL061399,Geophysical Research Letters
Development of topographic asymmetry: Insights from dated cinder cones in the western United States,"McGuire L.A., Pelletier J.D., and Roering J.J. ",2014,10.1002/2014JF003081,Journal of Geophysical Research
Quantifying the significance of abrasion and selective transport for downstream fluvial grain size evolution,"Miller, Szabo, Jerolmack and Domokos ",2014,10.1002/2014JF003156,Journal of Geophysical Research: Earth Surface
Interpreting climate-modulated processes of terrace development along Colorado Front Range using a landscape evolution model,"Langston, A.L., G.E. Tucker, R.S. Anderson ",2015,10.1002/2014JF003403,JGR-Earth Surface
Complex terrain alters temperature and moisture limitations of forest soil respiration across a semiarid to subalpine gradient.,"Berryman, E.M., Barnard, H.R., *Adams, H.R., *Burns, M.A., Gallo, E., and Brooks, P.D.  ",2015,10.1002/2014JG002802.,"Journal of Geophysical Research- Biogeosciences, "
Analytical model for flow duration curves in seasonally dry climates.,"Müller, M.F., Dralle, D.N., and Thompson, S.E. ",2014,10.1002/2014WR015301,Water Resources Research
Analytical model for flow duration curves in seasonally dry climates,"Muller, M., D.N. Dralle and S.E.Thompson  ",2014,10.1002/2014WR015301,Water Resources Research
Analytical model for flow duration curves in seasonally dry climates.,"Müller, M.F., Dralle, D.N., and Thompson, S.E. ",2014,10.1002/2014WR015301,Water Resources Research
Filling in the gaps: Inferring spatially distributed precipitation from gauge observations over complex terrain,"Livneh, B., J. S. Deems, D. Schneider, J. Barsugli, and N. Molotch ",2014,10.1002/2014WR015442,"Water Resour. Res., "
The delivery of dissolved organic carbon from a forest hillslope to a headwater stream,"Mei, Y. Hornberger, G., Kaplan, L. A., Newbold, J. D., & Aufdenkampe, A. K. ",2014,10.1002/2014WR015635,Water Resources Research
Model-based analysis of the influence of catchment properties on hydrologic partitioning across five mountain headwater sub-catchments,"Kelleher, C., T. Wagner, B.L. McGlynn ",2015,10.1002/2014WR016147,Water Resources Research
Open science in practice: learning integrated modeling of coupled surface-subsurface flow processes from scratch,Yu Xuan; Christopher J. Duffy; Alain N. Rousseau; Gopal Bhatt; Álvaro Pardo Álvarez; Dominique Charron ,2016,10.1002/2015EA000155,"Earth and Space Science, "
Topographic variability and the influence of soil erosion on the carbon cycle,"Dialynas, Y. G., S. Bastola., R. L. Bras, S. A. Billings, D. Markewitz, and D. deB. Richter ",2016,10.1002/2015GB005302,Global Biogeochemical Cycles
A simple framework for assessing the sensitivity of mountain watersheds to snowpack loss.,"Tennant, C.J., Crosby, B.T., Godsey, S.E., Van Kirk, R.W., and D.R. Derryberry ",2015,10.1002/2015GL063413,Geophys. Res. Lett.
A coupled force-restore model of surface temperature and soil moisture using the maximum entropy production model of heat fluxes,"Huang, S.-Y., and J. Wang ",2016,10.1002/2015JD024586,Journal of Geophysical Research Atmospheres
Particle trajectories on hillslopes: Implications for particle age and 10Be structure,"Anderson, R.S. ",2015,10.1002/2015JF003479,JGR-Earth Surface
"The predominance of post-wildfire erosion in the long-term denudation of the Valles Caldera, New Mexico",Orem C.A. and Pelletier J.D. ,2016,10.1002/2015JF003663,Journal of Geophysical Research: Earth Surface
Relict landscape resistance to dissection by upstream migrating knickpoints,"Gilles Y. Brocard, Jane K. Willenbring, Thomas E. Miller, Frederik N. Scatena ",2016,10.1002/2015JF003678,Journal of Geophysical Research
Climatic and landscape controls on water transit times and silicate mineral weathering in the critical zone,"Zapata-Rios X., McIntosh J., Rademacher L., Troch P.A., Brooks P.D., Rasmussen R., Chorover J. ",2015,10.1002/2015WR017018,Water Resources Research
On the probabilistic structure of water age,"Porporato, A., and Calabrese, S. ",2015,10.1002/2015WR017027,Water Resources Research
Hydrological partitioning in the critical zone: Recent advances and opportunities for developing transferable understanding of water cycle dynamics,"Brooks P.D., Chorover J., Fan Y., Godsey S.E., Maxwell R.M., McNamara J.P., and Tague C. ",2015,10.1002/2015WR017039,Water Resources Research
Hydrological partitioning in the critical zone: Recent advances and opportunities for developing transferable understanding of water cycle dynamics,"Brooks P.D., Chorover J., Fan Y., Godsey S.E., Maxwell R.M., McNamara J.P., and Tague C. ",2015,10.1002/2015WR017039,Water Resources Research
Hydrological partitioning in the critical zone: Recent advances and opportunities for developing transferable understanding of water cycle dynamics,"Brooks P.D., Chorover J., Fan Y., Godsey S.E., Maxwell R.M., McNamara J.P., and Tague C. ",2015,10.1002/2015WR017039,Water Resources Research
A unified approach to hydrologic modeling:  Part 2.  Comparison of alternative process representations.,"Clark, M., Nijssen, B., Lundquist, J., Kavetski, D., Rupp, D., Gutmann, E., Wood, A., Gochis, D., Rasmussen, R., Tarboton, D., Mahat, V., Flerchinger, G., and D. Marks ",2015,10.1002/2015WR017198,Water Resources Research
Land and atmospheric controls on initiation and intensity of moist convection: CAPE dynamics and LCL crossings,"Yin, J., J.D. Albertson, J.R. Rigby, A Porporato ",2015,10.1002/2015WR017286,Water Resources Research
Ecohydrological modeling in agroecosystems: Examples and challenges,"Porporato, A.; Feng, X.; Manzoni, S.; Mau, Y.; Parolari, A. J.; Vico G. ",2015,10.1002/2015WR017289,Water Resources Research
Hydrocomplexity: Addressing Water Security and Emergent Environmental Risks,"Kumar, P. ",2015,10.1002/2015WR017342,"Water Resources Research, "
Recent tree die-off has little effect on streamflow in contrast to expected increases from historical studies,"Biederman J.A., Somor A.J., Harpold A.A., Gutmann E.D., Breshears D.D., Troch P.A., Gochis D.J., Scott R.l., Meddens A.J.H., and Brooks P.D. ",2015,10.1002/2015WR017401,Water Resources Research
Recent tree die-off has little effect on streamflow in contrast to expected increases from historical studies,"Biederman J.A., Somor A.J., Harpold A.A., Gutmann E.D., Breshears D.D., Troch P.A., Gochis D.J., Scott R.l., Meddens A.J.H., and Brooks P.D. ",2015,10.1002/2015WR017401,Water Resources Research
Mean Age Distribution of Inorganic Soil-nitrogen,"Woo, D.K., and Kumar, P. ",2016,10.1002/2015WR017799,Water Resources Research
Watershed model calibration to the base flow recession curve with and without evapotranspiration effects,"Jepsen, s., Harmon, T., Shi, Y. ",2016,10.1002/2015WR017827,Hydrology
Comment on “Storage selection functions: A coherent framework for quantifying how catchments store and release water and solutes” by Rinaldo et al.,"Porporato, A., and S. Calabrese ",2016,10.1002/2015WR017846,Water Resources Research
Dissolved organic matter transport reflects hillslope to stream connectivity during snowmelt in a montane catchment.,"Burns, M.A., Barnard, H.R., Gabor, R.S., McKnight, D.M., and Brooks, P.D.  ",2016,10.1002/2015WR017878,Water Resources Research
An enhanced Bayesian fingerprinting framework for studying sediment source dynamics in intensively managed landscapes,"Abban, B., Papanicolaou, A.N., Cowles, M.K., Wilson, C.G., Abaci, O., Wacha, K., Schilling, K., and Schnoebelen, D. ",2016,10.1002/2015WR018030,Water Resources Research
Response of the hyporheic zone to transient groundwater fluctuations on the annual and storm event time scales,"Malzone, J.M., Lowry, C.S., and Ward, A.S. ",2016,10.1002/2015WR018056,Water Resources Research
Spatio-temporally variable controls confound  transport process interpretation of stream  solute tracers,"Schmadel, NM, AS Ward, MJ Kurz, JH Fleckenstein, JP Zarnetske, DM Hannah, T Blume, T Datry, M Vieweg, C Schmidt, PH Blaen, MJ Klaar, J Knapp, P Romeijn, T Keller, S Folegot, A Marruedo, S Krause ",2016,10.1002/2015WR018062,Water Resources Research
Trends and sensitivities of low streamflow extremes to discharge timing and magnitude in Pacific Northwest mountain streams.,"Kormos, P.R., Luce, C.H., Wenger, S.J., and W.R. Berghuijs ",2016,10.1002/2015WR018125,Water Resources Research
Hydrogeomorphic controls on hyporheic and riparian transport in two headwater mountain streams during base flow recession,"Ward, A.S., Schmadel, N.M., Wondzell, S.M., Harman, C., Gooseff, M.N., and Singha, K. ",2016,10.1002/2015WR018225,Water Resources Research
Beyond the SCS-CN method: Theoretical framework for spatially-lumped rainfall-runoff response,"Bartlett, M.S., A.J. Parolari, J.J. McDonnell, and A. Porporato ",2016,10.1002/2015WR018439,Water Resources Research
Role of meteorological controls on interannual variations in wet‐period characteristics of wetlands,"Liu, Y. and Kumar, M. ",2016,10.1002/2015WR018493,Water Resources Research
Comment on ‘‘Climate and agricultural land use change impacts on streamflow in the upper midwestern United States’’ by Satish C. Gupta et al.,"Foufoula-Georgiou, E., Belmont, P., Wilcock, P., Gran, K., Finlay, J.C., Kumar, P., Gzuba, J.A., Schwenk, J., and Takbiri, Z. ",2016,10.1002/2015WR018494,Water Resources Research
Stratigraphic and Earth system approaches to defining the Anthropocene,"Steffen, W. and 27 co-authors including D.deB. Richter",2016,10.1002/2016EF000379,Earth's Future
Critical Zone services as environmental assessment criteria in intensively managed landscapes,"Richardson, M., and Kumar, P. ",2017,10.1002/2016EF000517,Earth's Future
Pore water chemistry reveals gradients in mineral transformation across a model basaltic hillslope,"Pohlmann M., Dontsova K., Root R., Ruiz J., Troch P., and Chorover J. ",2016,10.1002/2016GC006270,"Geochemistry, Geophysics, Geosystems "
Testing for supply limited and kinetic limited chemical erosion in field measurements of regolith production and chemical depletion.,"Ferrier, K. L., Riebe, C. S. and Hahm, W. J. ",2016,10.1002/2016GC006273,"Geochemistry, Geophysics, Geosystems.  "
Quantifying the signature of sediment composition on the topologic and dynamic complexity of river delta channel networks and inferences toward delta classification,"Tejedor, A., A. Longjas, R. Caldwell, D.A. Edmonds, I. Zaliapin, and E. Foufoula-Georgiou ",2016,10.1002/2016GL068210,Geophysical Research Letters
Hyporheic exchange controlled by dynamic hydrologic boundary conditions,"Schmadel, N.M., Ward, A.S., Lowry, C.S., and Malzone, J.M. ",2016,10.1002/2016GL068286,Geophysical Research Letters
